Time,On/Off,Brightness (x*10)%,Color temp (x*1000)Kelvin
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,3
7,1,6,5
8,1,5,5
9,1,4,5
10,0,4,6
11,0,3,7
12,0,2,8
13,0,2,8
14,0,2,8
15,0,2,8
16,0,2,8
17,0,2,8
18,1,7,4
19,1,7,4
20,1,8,3
21,1,8,2
22,1,7,2
23,0,6,2
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,3
7,1,6,5
8,1,5,5
9,1,4,6
10,1,4,6
11,0,3,7
12,0,2,8
13,0,2,8
14,0,2,8
15,0,2,8
16,0,2,8
17,1,7,4
18,1,7,4
19,1,7,4
20,1,8,3
21,1,8,2
22,1,7,2
23,0,6,2
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,3
7,1,6,5
8,1,5,5
9,1,4,6
10,1,4,6
11,0,3,7
12,0,2,8
13,0,2,8
14,0,2,8
15,0,2,8
16,0,2,8
17,1,8,5
18,1,8,5
19,1,7,3
20,1,6,4
21,1,8,3
22,1,6,2
23,0,6,2
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,1,5,7
7,1,6,6
8,1,6,6
9,1,7,5
10,0,4,6
11,0,3,7
12,0,2,8
13,0,2,8
14,0,2,8
15,0,2,8
16,0,2,8
17,0,8,5
18,1,7,6
19,1,7,4
20,1,8,3
21,1,9,4
22,0,6,2
23,0,6,2
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,7
7,0,6,6
8,1,7,5
9,1,7,5
10,1,6,4
11,1,5,5
12,0,2,8
13,0,2,8
14,0,2,8
15,0,2,8
16,0,2,8
17,0,8,5
18,1,6,7
19,1,8,7
20,1,7,7
21,1,7,6
22,1,7,6
23,0,6,2
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,7
7,1,6,5
8,1,6,6
9,1,6,6
10,0,6,4
11,0,5,5
12,0,2,8
13,0,2,8
14,0,2,8
15,0,2,8
16,0,2,8
17,1,7,6
18,1,7,6
19,1,7,6
20,1,8,6
21,1,8,7
22,1,7,8
23,0,6,2
0,0,5,3
1,0,5,3
2,0,5,3
3,0,5,3
4,0,5,3
5,0,5,3
6,0,5,7
7,1,7,5
8,1,6,5
9,1,6,4
10,1,6,4
11,0,5,5
12,0,2,8
13,0,2,8
14,0,2,8
15,0,2,8
16,0,2,8
17,1,7,7
18,1,7,7
19,1,8,6
20,1,8,7
21,1,7,8
22,0,7,8
23,0,6,2
