Time,On/Off,Brightness (x*10)%,Color temp (x*1000)Kelvin
0,1,8,4
1,0,8,4
2,0,8,4
3,0,8,4
4,0,8,4
5,0,8,8
6,0,8,8
7,0,7,10
8,1,7,10
9,1,5,10
10,1,5,8
11,1,5,8
12,0,4,8
13,0,4,8
14,0,4,7
15,0,4,7
16,0,3,7
17,0,5,7
18,1,6,5
19,1,7,5
20,1,8,5
21,1,9,5
22,1,9,4
23,1,10,4
0,1,8,4
1,0,8,4
2,0,8,4
3,0,8,4
4,0,8,4
5,0,7,7
6,0,7,7
7,0,6,9
8,1,6,9
9,1,6,9
10,1,5,8
11,1,5,8
12,0,4,8
13,0,4,8
14,0,4,7
15,0,4,7
16,0,3,7
17,0,5,7
18,1,6,5
19,1,7,5
20,1,8,5
21,1,9,5
22,1,9,4
23,1,10,4
0,1,8,4
1,1,8,4
2,0,8,4
3,0,8,4
4,0,8,4
5,0,7,7
6,0,7,7
7,0,6,9
8,0,6,9
9,1,6,9
10,1,5,8
11,1,5,8
12,1,4,8
13,0,4,8
14,0,4,7
15,0,4,7
16,0,3,7
17,1,5,7
18,1,6,5
19,1,7,5
20,1,8,5
21,1,9,5
22,1,9,4
23,1,10,4
0,1,8,4
1,1,8,4
2,0,8,4
3,0,8,4
4,0,8,4
5,0,7,7
6,0,7,7
7,0,6,9
8,1,6,9
9,1,6,9
10,1,5,8
11,1,5,8
12,1,4,8
13,0,4,8
14,0,4,7
15,0,4,7
16,0,3,7
17,1,5,7
18,1,6,5
19,1,7,5
20,1,8,5
21,1,9,5
22,1,9,4
23,1,10,4
0,1,8,4
1,1,8,4
2,1,8,4
3,1,8,4
4,1,8,4
5,1,7,7
6,0,7,7
7,0,6,9
8,0,6,9
9,0,6,9
10,0,5,8
11,1,5,8
12,1,4,8
13,0,4,8
14,0,4,7
15,0,4,7
16,0,3,8
17,0,5,8
18,1,7,6
19,1,8,6
20,1,9,6
21,1,10,6
22,1,10,5
23,1,10,5
0,0,8,4
1,0,8,4
2,0,8,4
3,0,8,4
4,0,8,4
5,0,7,7
6,0,7,7
7,1,8,10
8,1,8,10
9,1,8,10
10,1,6,9
11,1,6,9
12,1,5,9
13,0,4,8
14,0,4,7
15,0,4,7
16,0,3,8
17,0,5,8
18,1,7,6
19,1,8,6
20,1,9,6
21,1,10,6
22,1,10,5
23,1,10,5
0,0,8,4
1,0,8,4
2,0,8,4
3,0,8,4
4,0,8,4
5,0,7,7
6,0,7,7
7,0,8,10
8,1,8,10
9,1,8,10
10,1,6,9
11,1,6,9
12,0,5,9
13,0,4,8
14,0,4,7
15,0,4,7
16,0,3,8
17,1,5,8
18,1,7,6
19,1,8,6
20,1,9,6
21,1,10,6
22,1,10,5
23,1,10,5
